Name,Total Time,Total Time (CPU),Hits
                                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                                Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                               Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                              Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                             Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                            Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                           Self time,0.0 ms (0%),0.0 ms (0%),2
                                                                          org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter.handle (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                           org.springframework.web.servlet.resource.ResourceHttpRequestHandler.handleRequest (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                            org.springframework.http.converter.AbstractHttpMessageConverter.write (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                             org.springframework.http.converter.ResourceHttpMessageConverter.writeInternal (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                              org.springframework.http.converter.ResourceHttpMessageConverter.writeInternal (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                               org.springframework.http.converter.ResourceHttpMessageConverter.writeContent (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                                org.springframework.util.StreamUtils.copy (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                                 java.io.FilterInputStream.read (),91.2 ms (-0%),91.2 ms (-0%),1
                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                          Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                         Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                        Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                       Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                      Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                     Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                    Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                   Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                  Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                 Self time,0.0 ms (0%),0.0 ms (0%),6
                                                                Self time,0.0 ms (0%),0.0 ms (0%),6
                                                               Self time,0.0 ms (0%),0.0 ms (0%),6
                                                              Self time,0.0 ms (0%),0.0 ms (0%),6
                                                             Self time,0.0 ms (0%),0.0 ms (0%),6
                                                            Self time,0.0 ms (0%),0.0 ms (0%),6
                                                           Self time,0.0 ms (0%),0.0 ms (0%),6
                                                          Self time,0.0 ms (0%),0.0 ms (0%),6
                                                         Self time,0.0 ms (0%),0.0 ms (0%),6
                                                        Self time,0.0 ms (0%),0.0 ms (0%),6
                                                       Self time,0.0 ms (0%),0.0 ms (0%),6
                                                      Self time,0.0 ms (0%),0.0 ms (0%),6
                                                     Self time,0.0 ms (0%),0.0 ms (0%),6
                                                    Self time,0.0 ms (0%),0.0 ms (0%),6
                                                   Self time,0.0 ms (0%),0.0 ms (0%),6
                                                  Self time,0.0 ms (0%),0.0 ms (0%),6
                                                 Self time,0.0 ms (0%),0.0 ms (0%),6
                                                Self time,0.0 ms (0%),0.0 ms (0%),6
                                               Self time,0.0 ms (0%),0.0 ms (0%),6
                                              Self time,0.0 ms (0%),0.0 ms (0%),6
                                             Self time,0.0 ms (0%),0.0 ms (0%),6
                                            Self time,0.0 ms (0%),0.0 ms (0%),6
                                           Self time,0.0 ms (0%),0.0 ms (0%),6
                                          Self time,0.0 ms (0%),0.0 ms (0%),6
                                         Self time,0.0 ms (0%),0.0 ms (0%),6
                                        Self time,0.0 ms (0%),0.0 ms (0%),6
                                       Self time,0.0 ms (0%),0.0 ms (0%),6
                                      Self time,0.0 ms (0%),0.0 ms (0%),6
                                     Self time,0.0 ms (0%),0.0 ms (0%),6
                                    Self time,0.0 ms (0%),0.0 ms (0%),6
                                   Self time,0.0 ms (0%),0.0 ms (0%),6
                                  Self time,0.0 ms (0%),0.0 ms (0%),6
                                 Self time,0.0 ms (0%),0.0 ms (0%),6
                                Self time,0.0 ms (0%),0.0 ms (0%),6
                               Self time,0.0 ms (0%),0.0 ms (0%),6
                              Self time,0.0 ms (0%),0.0 ms (0%),6
                             Self time,0.0 ms (0%),0.0 ms (0%),6
                            Self time,0.0 ms (0%),0.0 ms (0%),6
                           Self time,0.0 ms (0%),0.0 ms (0%),6
                          Self time,0.0 ms (0%),0.0 ms (0%),6
                         Self time,0.0 ms (0%),0.0 ms (0%),6
                        Self time,0.0 ms (0%),0.0 ms (0%),6
                       Self time,0.0 ms (0%),0.0 ms (0%),6
                      Self time,0.0 ms (0%),0.0 ms (0%),6
                     Self time,0.0 ms (0%),0.0 ms (0%),6
                    Self time,0.0 ms (0%),0.0 ms (0%),6
                   Self time,0.0 ms (0%),0.0 ms (0%),6
                  Self time,0.0 ms (0%),0.0 ms (0%),6
                 Self time,0.0 ms (0%),0.0 ms (0%),6
                Self time,0.0 ms (0%),0.0 ms (0%),6
               Self time,0.0 ms (0%),0.0 ms (0%),6
              Self time,0.0 ms (0%),0.0 ms (0%),6
             Self time,0.0 ms (0%),0.0 ms (0%),6
            Self time,0.0 ms (0%),0.0 ms (0%),6
           Self time,0.0 ms (0%),0.0 ms (0%),6
          Self time,0.0 ms (0%),0.0 ms (0%),6
         Self time,0.0 ms (0%),0.0 ms (0%),6
        Self time,0.0 ms (0%),0.0 ms (0%),6
       Self time,0.0 ms (0%),0.0 ms (0%),6
      Self time,0.0 ms (0%),0.0 ms (0%),6
     Self time,0.0 ms (0%),0.0 ms (0%),1
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
http-nio-8080-exec-3,"75,998 ms (-0%)",186 ms (-0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",186 ms (-0%),1
  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run (),"75,998 ms (-0%)",186 ms (-0%),1
   java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",186 ms (-0%),1
    java.util.concurrent.ThreadPoolExecutor.runWorker (),"75,998 ms (-0%)",186 ms (-0%),1
     java.util.concurrent.ThreadPoolExecutor.getTask (),"75,812 ms (-0%)",0.0 ms (0%),3
      org.apache.tomcat.util.threads.TaskQueue.take (),"75,812 ms (-0%)",0.0 ms (0%),3
       org.apache.tomcat.util.threads.TaskQueue.take (),"75,812 ms (-0%)",0.0 ms (0%),3
        java.util.concurrent.LinkedBlockingQueue.take (),"75,812 ms (-0%)",0.0 ms (0%),3
        Self time,0.0 ms (0%),0.0 ms (0%),3
       Self time,0.0 ms (0%),0.0 ms (0%),3
      Self time,0.0 ms (0%),0.0 ms (0%),3
     org.apache.tomcat.util.net.SocketProcessorBase.run (),186 ms (-0%),186 ms (-0%),2
      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun (),186 ms (-0%),186 ms (-0%),2
       org.apache.coyote.AbstractProtocol$ConnectionHandler.process (),186 ms (-0%),186 ms (-0%),2
        org.apache.coyote.AbstractProcessorLight.process (),186 ms (-0%),186 ms (-0%),2
         org.apache.coyote.http11.Http11Processor.service (),186 ms (-0%),186 ms (-0%),2
          org.apache.catalina.connector.CoyoteAdapter.service (),98.8 ms (-0%),98.8 ms (-0%),1
           org.apache.catalina.core.StandardEngineValve.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
            org.apache.catalina.valves.ErrorReportValve.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
             org.apache.catalina.core.StandardHostValve.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
              org.apache.catalina.authenticator.AuthenticatorBase.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
               org.apache.catalina.core.StandardContextValve.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
                org.apache.catalina.core.StandardWrapperValve.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
                 org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                   org.springframework.web.filter.OncePerRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                    org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                     org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                      org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                       org.springframework.web.filter.OncePerRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                        org.springframework.web.filter.FormContentFilter.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                         org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                          org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                           org.springframework.web.filter.OncePerRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                            org.springframework.web.filter.RequestContextFilter.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                             org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                              org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                               org.springframework.web.filter.DelegatingFilterProxy.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate (),98.8 ms (-0%),98.8 ms (-0%),1
                                 org.springframework.security.web.FilterChainProxy.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                  org.springframework.security.web.FilterChainProxy.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                                   org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                    org.springframework.web.filter.OncePerRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                     org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                                      org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                       org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                        org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                         org.springframework.web.filter.OncePerRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                          org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                                           org.springframework.security.web.header.HeaderWriterFilter.doHeadersAfter (),98.8 ms (-0%),98.8 ms (-0%),1
                                            org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                             org.springframework.security.web.authentication.logout.LogoutFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                              org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                               org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                 org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                  org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                   org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                    org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                     org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                      org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                       org.springframework.security.web.session.SessionManagementFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                        org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                         org.springframework.security.web.access.ExceptionTranslationFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                          org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                           org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                            org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke (),98.8 ms (-0%),98.8 ms (-0%),1
                                                             org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                              org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                               org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                org.apache.tomcat.websocket.server.WsFilter.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                 org.apache.catalina.core.ApplicationFilterChain.doFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                   javax.servlet.http.HttpServlet.service (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                    org.springframework.web.servlet.FrameworkServlet.service (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                     javax.servlet.http.HttpServlet.service (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                      org.springframework.web.servlet.FrameworkServlet.doGet (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                       org.springframework.web.servlet.FrameworkServlet.processRequest (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                        org.springframework.web.servlet.DispatcherServlet.doService (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                         org.springframework.web.servlet.DispatcherServlet.doDispatch (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                          org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter.handle (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                           org.springframework.web.servlet.resource.ResourceHttpRequestHandler.handleRequest (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                            org.springframework.http.converter.AbstractHttpMessageConverter.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                             org.springframework.http.converter.ResourceHttpMessageConverter.writeInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                              org.springframework.http.converter.ResourceHttpMessageConverter.writeInternal (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                               org.springframework.http.converter.ResourceHttpMessageConverter.writeContent (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                org.springframework.util.StreamUtils.copy (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                 org.springframework.security.web.util.OnCommittedResponseWrapper$SaveContextServletOutputStream.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                  org.springframework.security.web.util.OnCommittedResponseWrapper$SaveContextServletOutputStream.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                   org.apache.catalina.connector.CoyoteOutputStream.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                    org.apache.catalina.connector.OutputBuffer.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                     org.apache.catalina.connector.OutputBuffer.writeBytes (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                      org.apache.catalina.connector.OutputBuffer.append (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                       org.apache.catalina.connector.OutputBuffer.flushByteBuffer (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                        org.apache.catalina.connector.OutputBuffer.realWriteBytes (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                         org.apache.coyote.Response.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                          org.apache.coyote.http11.Http11OutputBuffer.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                           org.apache.coyote.http11.filters.IdentityOutputFilter.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                            org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                             org.apache.tomcat.util.net.SocketWrapperBase.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                              org.apache.tomcat.util.net.SocketWrapperBase.writeBlocking (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                               org.apache.tomcat.util.net.SocketWrapperBase.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.doWrite (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                 org.apache.tomcat.util.net.NioSelectorPool.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                  org.apache.tomcat.util.net.NioBlockingSelector.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                   org.apache.tomcat.util.net.NioChannel.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                    sun.nio.ch.SocketChannelImpl.write (),98.8 ms (-0%),98.8 ms (-0%),1
                                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                Self time,0.0 ms (0%),0.0 ms (0%),1
                               Self time,0.0 ms (0%),0.0 ms (0%),1
                              Self time,0.0 ms (0%),0.0 ms (0%),1
                             Self time,0.0 ms (0%),0.0 ms (0%),1
                            Self time,0.0 ms (0%),0.0 ms (0%),1
                           Self time,0.0 ms (0%),0.0 ms (0%),1
                          Self time,0.0 ms (0%),0.0 ms (0%),1
                         Self time,0.0 ms (0%),0.0 ms (0%),1
                        Self time,0.0 ms (0%),0.0 ms (0%),1
                       Self time,0.0 ms (0%),0.0 ms (0%),1
                      Self time,0.0 ms (0%),0.0 ms (0%),1
                     Self time,0.0 ms (0%),0.0 ms (0%),1
                    Self time,0.0 ms (0%),0.0 ms (0%),1
                   Self time,0.0 ms (0%),0.0 ms (0%),1
                  Self time,0.0 ms (0%),0.0 ms (0%),1
                 Self time,0.0 ms (0%),0.0 ms (0%),1
                Self time,0.0 ms (0%),0.0 ms (0%),1
               Self time,0.0 ms (0%),0.0 ms (0%),1
              Self time,0.0 ms (0%),0.0 ms (0%),1
             Self time,0.0 ms (0%),0.0 ms (0%),1
            Self time,0.0 ms (0%),0.0 ms (0%),1
           Self time,0.0 ms (0%),0.0 ms (0%),1
          Self time,87.5 ms (-0%),87.5 ms (-0%),2
         Self time,0.0 ms (0%),0.0 ms (0%),2
        Self time,0.0 ms (0%),0.0 ms (0%),2
       Self time,0.0 ms (0%),0.0 ms (0%),2
      Self time,0.0 ms (0%),0.0 ms (0%),2
     Self time,0.0 ms (0%),0.0 ms (0%),1
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
http-nio-8080-exec-4,"75,998 ms (-0%)",91.3 ms (-0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",91.3 ms (-0%),1
  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run (),"75,998 ms (-0%)",91.3 ms (-0%),1
   java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",91.3 ms (-0%),1
    java.util.concurrent.ThreadPoolExecutor.runWorker (),"75,998 ms (-0%)",91.3 ms (-0%),1
     java.util.concurrent.ThreadPoolExecutor.getTask (),"75,907 ms (-0%)",0.0 ms (0%),2
      org.apache.tomcat.util.threads.TaskQueue.take (),"75,907 ms (-0%)",0.0 ms (0%),2
       org.apache.tomcat.util.threads.TaskQueue.take (),"75,907 ms (-0%)",0.0 ms (0%),2
        java.util.concurrent.LinkedBlockingQueue.take (),"75,907 ms (-0%)",0.0 ms (0%),2
        Self time,0.0 ms (0%),0.0 ms (0%),2
       Self time,0.0 ms (0%),0.0 ms (0%),2
      Self time,0.0 ms (0%),0.0 ms (0%),2
     org.apache.tomcat.util.net.SocketProcessorBase.run (),91.3 ms (-0%),91.3 ms (-0%),1
      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun (),91.3 ms (-0%),91.3 ms (-0%),1
       org.apache.coyote.AbstractProtocol$ConnectionHandler.process (),91.3 ms (-0%),91.3 ms (-0%),1
        org.apache.coyote.AbstractProcessorLight.process (),91.3 ms (-0%),91.3 ms (-0%),1
         org.apache.coyote.http11.Http11Processor.service (),91.3 ms (-0%),91.3 ms (-0%),1
          org.apache.coyote.http11.Http11InputBuffer.nextRequest (),91.3 ms (-0%),91.3 ms (-0%),1
           org.apache.coyote.Request.recycle (),91.3 ms (-0%),91.3 ms (-0%),1
            org.apache.tomcat.util.http.MimeHeaders.recycle (),91.3 ms (-0%),91.3 ms (-0%),1
             org.apache.tomcat.util.http.MimeHeaders.clear (),91.3 ms (-0%),91.3 ms (-0%),1
              org.apache.tomcat.util.http.MimeHeaderField.recycle (),91.3 ms (-0%),91.3 ms (-0%),1
              Self time,0.0 ms (0%),0.0 ms (0%),1
             Self time,0.0 ms (0%),0.0 ms (0%),1
            Self time,0.0 ms (0%),0.0 ms (0%),1
           Self time,0.0 ms (0%),0.0 ms (0%),1
          Self time,0.0 ms (0%),0.0 ms (0%),1
         Self time,0.0 ms (0%),0.0 ms (0%),1
        Self time,0.0 ms (0%),0.0 ms (0%),1
